england, 7, false, 0
19238.02998925, 19239.5136946667, 17.2749996185303, 4.0
19240.1635343333, 19241.0138007083, 3.00250053405762, 4.0
nck, 3, false, 4
19242.9470199167, 19243.8468783333, 11.4174995422363, 4.0
19244.4802718333, 19244.9805831667, 2.17750024795532, 4.0
19245.6303676667, 19246.4803533333, 9.02500057220459, 4.0
oue, 3, false, 5
19247.613864625, 19249.1143963333, 16.0375003814697, 4.0
19249.6806910417, 19251.3643482917, 21.0700016021729, 4.0
19251.9641662083, 19252.5974331667, 7.21000003814697, 4.0
hsn, 3, false, 6
19254.31434625, 19254.9309466667, 9.02500057220459, 4.0
19255.464747, 19256.7977100833, 19.0075016021729, 4.0
19257.4312942083, 19258.5314585833, 13.6450004577637, 4.0
xry, 5, false, 7
19259.86464225, 19260.7980302083, 27.0100021362305, 4.0
19261.4647620833, 19263.4817865, 19.3374996185303, 4.0
19264.19835325, 19266.4820275833, 22.2250003814697, 4.0
19266.9652006667, 19268.8655415833, 15.1300010681152, 4.0
19269.315276, 19270.6153677083, 21.0700016021729, 4.0
rmd, 3, false, 8
19271.7656683333, 19273.11539575, 15.1300010681152, 4.0
19273.565712875, 19274.2488826667, 13.2325000762939, 4.0
19274.6157756667, 19275.1491514167, 4.32250022888184, 4.0
liq, 3, false, 9
19276.232406, 19277.0993490833, 9.27250003814697, 4.0
19277.5492981667, 19277.9825800833, 8.03500080108643, 4.0
19278.4493307083, 19279.7825557917, 15.1300010681152, 4.0
ftd, 3, false, 10
19280.8827120417, 19281.5660448333, 4.07499980926514, 4.0
19281.966237875, 19283.4827775833, 16.0375003814697, 4.0
19283.9162779167, 19284.3665435833, 5.06500053405762, 4.0
mlw, 7, false, 11
19285.3998667917, 19286.199701375, 10.0975008010864, 4.0
19286.6331602083, 19287.63355625, 14.0574989318848, 4.0
19288.1667073333, 19289.7833676667, 27.1749992370605, 4.0
19290.2499074583, 19290.88371025, 2.17750024795532, 4.0
19292.3669250833, 19293.0837007917, 11.0050010681152, 4.0
19293.4837337083, 19294.4169661667, 10.0150003433228, 4.0
19294.8003823333, 19296.1001085833, 23.1325016021729, 4.0
mcx, 3, false, 12
19297.733835375, 19298.4507368333, 11.1700000762939, 4.0
19298.867108125, 19299.3170206667, 3.25, 4.0
19299.7341485833, 19300.8840182917, 21.0700016021729, 4.0
fjm, 3, false, 13
19302.0508536667, 19302.6673775, 7.12750053405762, 4.0
19302.8842164583, 19303.8341502917, 6.13749980926514, 4.0
19304.3509936667, 19304.967570875, 11.1700000762939, 4.0
gan, 3, false, 14
19306.1676559583, 19306.8010669583, 5.06500053405762, 4.0
19307.2176755417, 19307.4676455, 1.02250003814697, 4.0
19308.0511621667, 19308.9177955833, 12.1599998474121, 4.0
lqn, 3, false, 15
19310.2513105417, 19311.2513235, 10.2624998092651, 4.0
19311.6847215417, 19313.2183279583, 16.1199989318848, 4.0
19313.5182412917, 19314.3850705, 12.4899997711182, 4.0
tzl, 3, false, 16
19315.43500425, 19317.0852722083, 17.3575000762939, 4.0
19317.5017019583, 19319.2020540417, 24.0399990081787, 4.0
19319.56846575, 19320.2855030417, 8.03500080108643, 4.0
kgh, 3, false, 17
19321.3187370833, 19321.9522555, 11.3350009918213, 4.0
19322.3353535417, 19322.88570275, 5.14750003814697, 4.0
19323.2355422917, 19323.7355257083, 7.04500007629395, 4.0
pbf, 11, false, 18
19324.918857125, 19325.968951625, 13.2325000762939, 4.0
19326.369195625, 19327.6690056667, 8.19999980926514, 4.0
19329.2023955417, 19329.8525205417, 15.2124996185303, 4.0
19330.219155625, 19330.61945975, 1.10500001907349, 4.0
19331.0695018333, 19332.2358973333, 11.0874996185303, 4.0
19333.9196798333, 19334.636191625, 15.0475006103516, 4.0
19334.9863544583, 19335.7198557917, 4.07499980926514, 4.0
19336.1861618333, 19336.9198255833, 7.04500007629395, 4.0
19337.6030953333, 19338.3035260417, 17.1100006103516, 4.0
19338.6700549167, 19338.9699137083, 3.08500003814697, 4.0
19339.386689125, 19339.8200972083, 4.07499980926514, 4.0
bke, 3, false, 19
19341.0536002917, 19341.5365560417, 1.1875, 4.0
19341.9699599583, 19343.0866935833, 10.0975008010864, 4.0
19343.4537090833, 19343.88704275, 5.06500053405762, 4.0
mqs, 3, false, 20
19345.0869165, 19345.8368694167, 10.1800003051758, 4.0
19346.27047075, 19347.6204512083, 15.2950000762939, 4.0
19348.0372723333, 19349.6541210417, 15.0475006103516, 4.0
umy, 3, false, 21
19351.304030125, 19353.020727625, 22.8024997711182, 4.0
19353.3206758333, 19354.1710766667, 12.1599998474121, 4.0
19354.4875724167, 19355.787614, 27.2574996948242, 4.0
cvj, 3, false, 22
19358.2212055417, 19358.5545062917, 5.06500053405762, 4.0
19358.85468875, 19360.2711920833, 21.3999996185303, 4.0
19360.5711142083, 19361.4884311667, 9.19000053405762, 4.0
rim, 3, false, 23
19362.97150575, 19364.4718319167, 15.5424995422363, 4.0
19365.0883590833, 19365.82180825, 9.10750007629395, 4.0
19366.154984625, 19366.938275, 13.0675010681152, 4.0
wtl, 3, false, 24
19368.4218166667, 19369.3384830417, 25.1125011444092, 4.0
19369.5218349167, 19371.3383362083, 17.1100006103516, 4.0
19371.4718678333, 19372.372231875, 11.0874996185303, 4.0
oeb, 3, false, 25
19373.988995625, 19374.588685375, 14.3049983978271, 4.0
19374.7554640833, 19375.4224530417, 3.08500003814697, 4.0
19375.7390239167, 19376.1723754583, 2.01250028610229, 4.0
qci, 6, false, 26
19377.5390045417, 19378.455719125, 15.2124996185303, 4.0
19378.6566193333, 19379.5391682083, 5.06500053405762, 4.0
19379.87245, 19380.672769625, 2.01250028610229, 4.0
19381.4228438333, 19382.056190875, 19.1725006103516, 4.0
19382.4227687083, 19382.75617925, 4.40499973297119, 4.0
19383.1227502083, 19384.1229999167, 10.3450002670288, 4.0
qcg, 3, false, 27
19385.990178375, 19386.7232697083, 15.4600009918213, 4.0
19387.073147875, 19387.4732048333, 3.16750049591064, 4.0
19387.773086, 19388.4735002917, 6.05500030517578, 4.0
fih, 3, false, 28
19389.823401875, 19390.3901782917, 5.06500053405762, 4.0
19390.656618875, 19391.5402437917, 9.02500057220459, 4.0
19391.65653325, 19392.673699625, 7.12750053405762, 4.0
bte, 3, false, 29
19394.1233594583, 19394.606966375, 0.0325002670288086, 4.0
19394.7235736667, 19396.5902079167, 17.0275001525879, 4.0
19396.940217, 19397.573959625, 3.00250053405762, 4.0
gxa, 3, false, 30
19400.0407038333, 19400.5241020833, 6.05500030517578, 4.0
19400.8739085833, 19401.8072089167, 24.5349998474121, 4.0
19402.1739302917, 19402.3741772917, 0.445000171661377, 4.0
vtv, 3, false, 31
19404.3076391667, 19405.1409141667, 23.2150001525879, 4.0
19405.4410069167, 19407.2075928333, 18.1000003814697, 4.0
19407.5910682083, 19408.9245381667, 21.2350006103516, 4.0
fmw, 3, false, 32
19410.591223375, 19411.0581305, 8.19999980926514, 4.0
19411.2245522083, 19412.2413470833, 13.3975009918213, 4.0
19412.37464475, 19413.591372625, 20.2449989318848, 4.0
itv, 3, false, 33
19415.4581999167, 19415.9752507917, 10.5100002288818, 4.0
19416.324822875, 19417.2248945417, 17.1925010681152, 4.0
19417.4750303333, 19419.1417088333, 18.1824989318848, 4.0
ozr, 5, false, 34
19420.8251503333, 19421.7585389583, 13.1499996185303, 4.0
19421.925241625, 19423.125275625, 26.1849994659424, 4.0
19424.3756195, 19426.009194625, 14.2224998474121, 4.0
19426.3589330417, 19427.3093182917, 24.1224994659424, 4.0
19427.6922449167, 19428.3758770417, 16.0375003814697, 4.0
zzo, 3, false, 35
19430.8926928333, 19431.792788125, 27.0925025939941, 4.0
19432.1426174167, 19433.1259380417, 25.1950016021729, 4.0
19433.292728375, 19434.4415312917, 14.0574989318848, 4.0
yuc, 3, false, 36
19435.843003625, 19437.2431732083, 21.1525001525879, 4.0
19437.6430072917, 19438.576404875, 17.0275001525879, 4.0
19438.72646025, 19440.8935655833, 12.0774993896484, 4.0
dur, 6, false, 37
19442.7932363333, 19445.4603629167, 9.02500057220459, 4.0
19445.560082625, 19446.3588544167, 20.1625003814697, 4.0
19447.6271189583, 19448.5605191667, 4.07499980926514, 4.0
19449.4772284167, 19449.960637375, 4.07499980926514, 4.0
19450.2939892083, 19451.6774434167, 19.2550010681152, 4.0
19451.9605349583, 19453.1105844583, 15.2124996185303, 4.0
vmu, 3, false, 38
19454.9774849167, 19456.344269375, 19.0075016021729, 4.0
19456.627481375, 19457.3776024583, 14.1399993896484, 4.0
19457.6608010833, 19458.8598029167, 18.1000003814697, 4.0
ver, 8, false, 39
19460.6779995417, 19461.9114553333, 19.1725006103516, 4.0
19462.244538625, 19463.3781962083, 11.0874996185303, 4.0
19463.978150375, 19464.8449203333, 20.2449989318848, 4.0
19465.161515125, 19465.8116483333, 8.11750030517578, 4.0
19465.9948409167, 19466.0947546667, -5.0, 4.0
19466.6950006667, 19467.628461375, 18.0174999237061, 4.0
19467.9449795833, 19468.5950443333, 4.15750026702881, 4.0
19468.9116525, 19470.0604160833, 15.1300010681152, 4.0
byp, 3, false, 40
19471.7786658333, 19472.4285229583, 2.01250028610229, 4.0
19472.8454377917, 19475.562325125, 24.0399990081787, 4.0
19475.862015125, 19477.3122077083, 15.4600009918213, 4.0
ynt, 3, false, 41
19478.912359375, 19479.8124761667, 22.2250003814697, 4.0
19480.162569875, 19480.929103375, 12.1599998474121, 4.0
19481.24572875, 19482.462496125, 20.1625003814697, 4.0
gxc, 8, false, 42
19483.996095625, 19484.5129206667, 5.14750003814697, 4.0
19484.72941, 19486.2128417083, 21.0700016021729, 4.0
19486.5461010417, 19487.6630112083, 7.04500007629395, 4.0
19487.72948275, 19488.9296262917, 13.0675010681152, 4.0
19490.0966180833, 19492.1972572917, 15.1300010681152, 4.0
19493.0800472083, 19493.8134675833, 6.13749980926514, 4.0
19494.163475375, 19495.2637680417, 22.0599994659424, 4.0
19495.5466475833, 19495.9967265, 4.32250022888184, 4.0
xia, 3, false, 43
19498.0302764583, 19499.0635704583, 21.3175010681152, 4.0
19499.3803124583, 19500.26418325, 9.10750007629395, 4.0
19500.3971615, 19501.4639278333, 4.15750026702881, 4.0
wbz, 3, false, 44
19503.0473559167, 19504.1306706667, 21.2350006103516, 4.0
19504.4640547083, 19506.9143964583, 13.0675010681152, 4.0
19507.147483125, 19508.7810605417, 25.1125011444092, 4.0
lud, 3, false, 45
19510.297926375, 19511.1312016667, 12.2424983978271, 4.0
19511.4146600417, 19512.431278, 19.0900001525879, 4.0
19512.7310929583, 19513.214791125, 2.09500026702881, 4.0
jyj, 3, false, 46
19514.5313758333, 19515.39828075, 8.11750030517578, 4.0
19515.6980385, 19518.848281125, 27.1749992370605, 4.0
19518.9817757917, 19519.8982943333, 9.02500057220459, 4.0
rsj, 3, false, 47
19521.4485549167, 19522.6985670417, 15.1300010681152, 4.0
19522.8984317083, 19524.9156988333, 19.0900001525879, 4.0
19525.1985573333, 19527.0487612917, 18.3474998474121, 4.0
hau, 11, false, 48
19529.3823722917, 19530.082542625, 9.02500057220459, 4.0
19530.349133, 19530.8326505833, 2.01250028610229, 4.0
19531.09909325, 19532.9661782917, 20.0799999237061, 4.0
19533.1991711667, 19533.949303375, 4.23999977111816, 4.0
19534.182609, 19534.4494932917, -0.710000038146973, 4.0
19535.3493945417, 19535.766089, 33.0, 1.0
19536.9326872083, 19537.7494860417, 6.46749973297119, 4.0
19537.9661825, 19538.6997739167, 3.00250053405762, 4.0
19539.4162774583, 19540.2499227083, 11.2525005340576, 4.0
19540.5497395, 19540.916427375, 1.1875, 4.0
19541.2330047917, 19542.6165087083, 17.0275001525879, 4.0
qtj, 10, false, 49
19544.3998743333, 19546.28364075, 20.4924983978271, 4.0
19546.5500203333, 19548.0502675, 18.1824989318848, 4.0
19548.2168640417, 19549.0831991667, 11.1700000762939, 4.0
19550.8337709167, 19551.7838450417, 18.2649993896484, 4.0
19552.0505015833, 19553.4173217917, 17.0275001525879, 4.0
19553.7676920833, 19554.4506028333, 10.0975008010864, 4.0
19554.700675875, 19556.350562375, -2.77249979972839, 4.0
19559.1341880833, 19559.8509335, 18.0174999237061, 4.0
19560.5509251667, 19562.234821125, 18.0174999237061, 4.0
19562.5678715833, 19563.3179775833, 10.2624998092651, 4.0
wns, 3, false, 50
19565.3354804583, 19566.3013507083, 20.1625003814697, 4.0
19566.6179334583, 19567.3850570417, 14.0574989318848, 4.0
19567.5852847083, 19569.1181005417, 16.1199989318848, 4.0
wxh, 3, false, 51
19572.5852329583, 19573.4519097083, 20.1625003814697, 4.0
19573.61845375, 19574.81874925, 22.0599994659424, 4.0
19575.118933625, 19575.7857757917, 6.22000026702881, 4.0
spa, 5, false, 52
19577.1688766667, 19578.819079625, 17.5225009918213, 4.0
19579.3186099583, 19580.6189597083, 17.0275001525879, 4.0
19581.5526499167, 19583.0026854167, 18.1000003814697, 4.0
19583.3025250833, 19584.102741125, 15.2124996185303, 4.0
19584.4194487083, 19584.7361137917, 2.17750024795532, 4.0
vdo, 3, false, 53
19586.1195906667, 19587.236105, 21.6475009918213, 4.0
19587.569364125, 19588.236021, 4.07499980926514, 4.0
19588.5196041667, 19590.2028544583, 19.0075016021729, 4.0
ibk, 3, false, 54
19591.903596125, 19592.869809625, 8.11750030517578, 4.0
19593.170112625, 19594.103478375, 4.07499980926514, 4.0
19594.4535436667, 19595.3865385417, 9.02500057220459, 4.0
vgn, 3, false, 55
19596.9868557917, 19598.0200857917, 19.0075016021729, 4.0
19598.303799125, 19599.6701525833, 10.0975008010864, 4.0
19600.0038570833, 19600.8369360833, 11.1700000762939, 4.0
ehj, 3, false, 56
19602.1872098333, 19603.0039210417, 3.00250053405762, 4.0
19603.3873239583, 19604.3374875833, 11.0050010681152, 4.0
19604.9707165, 19606.1043420833, 8.03500080108643, 4.0
ckp, 3, false, 57
19607.5041848333, 19607.9043257917, 2.17750024795532, 4.0
19608.2374375, 19609.52126575, 8.03500080108643, 4.0
19609.8043292083, 19610.87102, 14.2224998474121, 4.0
qla, 3, false, 58
19612.4878584167, 19613.5377817917, 16.1199989318848, 4.0
19613.8045845833, 19614.7048285417, 9.02500057220459, 4.0
19614.9878655833, 19615.354691125, 2.17750024795532, 4.0
yfx, 6, false, 59
19616.8881767083, 19618.6548468333, 21.2350006103516, 4.0
19618.8547603333, 19620.038179625, 32.8349990844727, 1.0
19620.754832125, 19622.9216779583, 24.3699989318848, 4.0
19623.7382989167, 19624.45546025, 23.1325016021729, 4.0
19624.972005125, 19626.8223212917, 15.0475006103516, 4.0
19627.0887349167, 19629.0387786667, 20.2449989318848, 4.0
ekz, 3, false, 60
19630.7889014583, 19631.239119, 6.05500030517578, 4.0
19631.4889098333, 19632.305904375, 9.27250003814697, 4.0
19632.6389599583, 19633.58905525, 27.0100021362305, 4.0
oir, 3, false, 61
19635.1726910833, 19637.0726109583, 15.4600009918213, 4.0
19637.3727586667, 19638.4058560417, 11.3350009918213, 4.0
19638.5724478333, 19640.1561601667, 15.2124996185303, 4.0
wlx, 3, false, 62
19641.6399575833, 19643.9898535417, 20.3274993896484, 4.0
19644.1732209167, 19645.3065641667, 10.1800003051758, 4.0
19645.523397125, 19648.4238127917, 24.2049999237061, 4.0
awd, 3, false, 63
19649.7736456667, 19650.1570188333, 1.02250003814697, 4.0
19650.4735402083, 19651.8237682917, 20.1625003814697, 4.0
19652.1068733333, 19652.8572754167, 4.15750026702881, 4.0
kge, 3, false, 64
19654.0405143333, 19654.8241326667, 10.2624998092651, 4.0
19655.1240843333, 19655.890816125, 6.13749980926514, 4.0
19656.1739029167, 19656.9408525417, 4.23999977111816, 4.0
fok, 3, false, 65
19658.4741092917, 19659.1074805, 5.06500053405762, 4.0
19659.5411107917, 19660.474170375, 12.0774993896484, 4.0
19660.8244694167, 19661.8575834583, 8.11750030517578, 4.0
cvh, 3, false, 66
19663.1578706667, 19663.5255138333, 3.08500003814697, 4.0
19663.8745198333, 19664.9908762083, 20.1625003814697, 4.0
19665.274465125, 19665.95823025, 7.04500007629395, 4.0
nad, 3, false, 67
19667.2082127917, 19667.9580606667, 13.4799995422363, 4.0
19668.22477425, 19668.624782125, 3.16750049591064, 4.0
19668.9913117083, 19669.608166875, 5.23000049591064, 4.0
nqt, 3, false, 68
19670.7750377917, 19671.7084654167, 11.0050010681152, 4.0
19672.0748851667, 19673.1418869167, 13.1499996185303, 4.0
19673.308388125, 19675.0906417917, 17.1925010681152, 4.0
oup, 3, false, 69
19676.3754452083, 19677.8087051667, 14.0574989318848, 4.0
19678.0754565833, 19679.9924651667, 18.0174999237061, 4.0
19680.35894275, 19681.1088546667, 15.1300010681152, 4.0
puq, 3, false, 70
19682.2422400833, 19683.0258593333, 16.1199989318848, 4.0
19683.3089717083, 19685.2758915833, 19.0075016021729, 4.0
19685.3924287917, 19686.2925631667, 15.0475006103516, 4.0
rpw, 4, false, 71
19687.5095355833, 19689.1093707917, 22.3899993896484, 4.0
19691.02615375, 19691.693198125, 18.5124988555908, 4.0
19691.992900375, 19693.1931152917, 15.0475006103516, 4.0
19693.526594625, 19694.593166, 22.2250003814697, 4.0
fxz, 4, false, 72
19695.809833375, 19696.859895875, 8.28250026702881, 4.0
19697.6266937083, 19698.6102942917, 9.02500057220459, 4.0
19699.227027875, 19701.1770898333, 21.0700016021729, 4.0
19701.4936090417, 19702.5602457083, 25.0300006866455, 4.0
hez, 3, false, 73
19703.6939830833, 19704.560771625, 8.03500080108643, 4.0
19704.8105469583, 19706.27725475, 9.19000053405762, 4.0
