find a nearby parking spot, 0, false, 1
find a nearby parking spot, 126, false, 1
229431.814076125, 229432.595859625, 3.00250053405762, 4.0
229433.330862208, 229433.412792875, -5.0, 4.0
229433.530879667, 229433.612731583, -5.0, 4.0
229433.68089075, 229433.779481417, -5.0, 4.0
229433.84763825, 229433.929504375, -5.0, 4.0
229434.04758425, 229434.113093708, -5.0, 4.0
229434.447465375, 229434.529463333, -5.0, 4.0
229434.797539333, 229434.863030333, -5.0, 4.0
229435.547660958, 229436.397493708, 5.97250080108643, 4.0
229437.231156458, 229438.7965735, 15.4600009918213, 4.0
229439.514627833, 229439.597837333, -5.0, 4.0
229439.647842417, 229439.74653225, -5.0, 4.0
229439.831386333, 229439.896489833, -5.0, 4.0
229440.347991917, 229440.8313255, 4.07499980926514, 4.0
229441.397978917, 229441.480125333, -5.0, 4.0
229441.54824725, 229441.630134542, -5.0, 4.0
229441.681559458, 229441.796768833, -5.0, 4.0
229442.264802917, 229442.34796075, -5.0, 4.0
229442.681223917, 229442.981449917, 1.1875, 4.0
229443.514469875, 229443.61322325, -5.0, 4.0
229443.69791225, 229443.763604, -5.0, 4.0
229444.03136825, 229444.531578458, 2.09500026702881, 4.0
229445.265206667, 229447.648586833, 1.51750040054321, 4.0
229448.148350625, 229448.247144125, -5.0, 4.0
229448.315253958, 229448.380553083, -5.0, 4.0
229449.165306958, 229450.780766167, 12.3249988555908, 4.0
229451.498705125, 229451.580649042, -5.0, 4.0
229451.665522958, 229451.747388333, -5.0, 4.0
229451.832276833, 229451.89736325, -5.0, 4.0
229452.0819925, 229452.165403917, -5.0, 4.0
229452.698877583, 229453.098987, 2.17750024795532, 4.0
229454.082275667, 229454.164211958, -5.0, 4.0
229454.232203625, 229454.314205833, -5.0, 4.0
229454.399347375, 229454.464333792, -5.0, 4.0
229454.798984542, 229454.864219667, -5.0, 4.0
229454.96554525, 229455.047608375, -5.0, 4.0
229455.549050625, 229455.7809405, 2.01250028610229, 4.0
229456.899060208, 229459.24923275, 17.1100006103516, 4.0
229459.899333375, 229459.9492785, -5.0, 4.0
229460.599465417, 229461.399333667, 3.08500003814697, 4.0
229462.018498958, 229462.048148208, -5.0, 4.0
229462.366141458, 229463.699483583, 20.3274993896484, 4.0
