do not walk too quickly, 0, false, 1
do not walk too quickly, 94, false, 1
211670.637241583, 211671.086055125, -5.0, 4.0
211671.370590833, 211672.019383083, 14.0574989318848, 4.0
211672.754043958, 211672.819426708, -5.0, 4.0
211672.920780208, 211672.986260917, -5.0, 4.0
211673.070991292, 211673.152878125, -5.0, 4.0
211673.270803667, 211673.353025458, -5.0, 4.0
211673.520751958, 211673.6042245, -5.0, 4.0
211674.07088875, 211674.737335167, 11.0874996185303, 4.0
211675.504341292, 211675.902878167, 11.4174995422363, 4.0
211676.520928667, 211676.603067583, -5.0, 4.0
211677.087970458, 211677.737846917, 3.08500003814697, 4.0
211678.48775, 211678.571057792, -5.0, 4.0
211678.671085917, 211678.736514625, -5.0, 4.0
211678.821279458, 211678.887907292, -5.0, 4.0
211678.971161833, 211679.053233958, -5.0, 4.0
211679.137959125, 211679.186775625, -5.0, 4.0
211680.588224167, 211680.671151792, -0.957499980926514, 4.0
211681.137926458, 211681.220047458, -5.0, 4.0
211681.304600125, 211681.370105958, -5.0, 4.0
211682.4380855, 211682.637870458, 0.115000247955322, 4.0
211683.388156583, 211683.453613417, -5.0, 4.0
211684.288325417, 211684.353544417, -0.875, 4.0
211685.671710042, 211686.705045042, 15.2124996185303, 4.0
211687.555095292, 211687.588313542, -5.0, 4.0
211687.688377333, 211687.771841833, -5.0, 4.0
211687.871753208, 211687.937111375, -5.0, 4.0
211688.055034583, 211688.120635625, -5.0, 4.0
211688.355383542, 211688.437089208, -5.0, 4.0
211689.288657333, 211690.220680542, 15.1300010681152, 4.0
211691.822069417, 211692.555443292, 17.1925010681152, 4.0
211693.855487667, 211694.405507833, 20.3274993896484, 4.0
211695.272459667, 211695.454278, 7.21000003814697, 4.0
211696.422295583, 211696.48765575, -5.0, 4.0
211696.572312125, 211696.654370917, -5.0, 4.0
211696.722633667, 211696.787672417, -5.0, 4.0
211696.855715875, 211696.937784, -5.0, 4.0
211697.1724595, 211697.254428208, -5.0, 4.0
211698.355845458, 211698.471219458, 0.0325002670288086, 4.0
211699.82125225, 211699.904575083, -5.0, 4.0
211700.005841, 211700.071233917, -5.0, 4.0
211701.055913292, 211701.221385958, -0.627500057220459, 4.0
211702.755029958, 211702.8725535, 100.0, 1.0
211702.755029958, 211703.089421542, -5.0, 4.0
211704.022916042, 211704.172837083, -0.792500019073486, 4.0
211704.739610708, 211704.971475917, 4.32250022888184, 4.0
211705.656285083, 211705.704944, -5.0, 4.0
211705.806244875, 211705.854956958, -5.0, 4.0
211706.989714708, 211707.123067667, 0.0325002670288086, 4.0
211708.456666042, 211709.371898708, 12.0774993896484, 4.0
211710.705202292, 211710.773187292, -5.0, 4.0
211710.856523708, 211710.938646542, -5.0, 4.0
211711.006820792, 211711.071957375, -5.0, 4.0
211711.13995625, 211711.205397542, -5.0, 4.0
211711.35656925, 211711.44006, -5.0, 4.0
211712.290012042, 211712.906729958, 5.23000049591064, 4.0
211713.523458, 211713.605408375, -5.0, 4.0
211713.690199167, 211713.755538167, -5.0, 4.0
211713.82370425, 211713.888826875, -5.0, 4.0
211713.956863667, 211714.038874458, -5.0, 4.0
211714.939994833, 211715.105665625, 4.40499973297119, 4.0
211716.023564333, 211716.1223375, -5.0, 4.0
211716.190352917, 211716.288813375, -5.0, 4.0
211717.257164333, 211717.840327417, 3.00250053405762, 4.0
211718.540396042, 211718.622457, -5.0, 4.0
211718.707035208, 211718.772542, -5.0, 4.0
211718.857070458, 211718.922493833, -5.0, 4.0
211719.940700333, 211720.607107542, 9.10750007629395, 4.0
211721.473889125, 211721.539351875, -5.0, 4.0
211721.640665625, 211721.705989458, -5.0, 4.0
211722.09066725, 211722.172690708, -5.0, 4.0
211722.240740875, 211722.322853667, -5.0, 4.0
211722.390783333, 211722.472892583, -5.0, 4.0
211722.540780542, 211722.622686, -5.0, 4.0
211722.840835917, 211722.90604075, -5.0, 4.0
211723.657386083, 211723.922888333, -5.0, 4.0
211725.541007167, 211725.657615667, -0.875, 4.0
211726.640979167, 211727.806560458, 18.1000003814697, 4.0
211728.407854917, 211728.457706875, -5.0, 4.0
211728.9412065, 211729.157594583, 100.0, 1.0
211728.9412065, 211729.49106325, 100.0, 1.0
211728.791122542, 211729.97329025, -5.0, 4.0
211730.324509542, 211730.589908792, 9.68499946594238, 4.0
211732.25795075, 211732.308065625, 100.0, 1.0
211732.874588125, 211733.1413985, 0.445000171661377, 4.0
211733.991420958, 211735.857041708, 19.1725006103516, 4.0
211736.391674917, 211736.456963208, -5.0, 4.0
211736.908351375, 211738.307082917, 18.1824989318848, 4.0
211739.341891542, 211739.841789458, 9.02500057220459, 4.0
211740.758624583, 211741.125309708, 4.48750019073486, 4.0
211741.675186792, 211741.741829333, -5.0, 4.0
211741.841894833, 211741.907367583, -5.0, 4.0
211741.9920715, 211742.042214875, -5.0, 4.0
211742.142033167, 211742.19065125, -5.0, 4.0
211742.875266375, 211743.123955875, -5.0, 4.0
211744.157399, 211744.475370792, -5.0, 4.0
211745.22556625, 211745.525542542, 3.00250053405762, 4.0
211746.808950167, 211747.574595125, 11.1700000762939, 4.0
211748.724410917, 211748.807838583, -5.0, 4.0
211748.90920925, 211748.942514125, -5.0, 4.0
211749.042418167, 211749.092582833, -5.0, 4.0
211749.292520833, 211749.357798875, -5.0, 4.0
211749.925773833, 211750.174583792, -5.0, 4.0
211750.875787125, 211751.091284125, -5.0, 4.0
211751.942479542, 211752.457968958, -5.0, 4.0
211752.826170708, 211753.191398875, -5.0, 4.0
211753.592701875, 211753.859355, -5.0, 4.0
211755.309574708, 211755.3913275, -0.875, 4.0
211756.059520667, 211756.124952625, -5.0, 4.0
211756.243085875, 211756.276279625, -5.0, 4.0
211757.593060792, 211758.026243833, 12.1599998474121, 4.0
211758.70972275, 211758.7751225, -5.0, 4.0
211758.859806667, 211758.92520675, -5.0, 4.0
211759.37660025, 211760.241652208, 19.6674995422363, 4.0
211760.843094083, 211760.908661375, -5.0, 4.0
211761.926634208, 211762.391796083, 20.2449989318848, 4.0
211763.21000925, 211763.29199125, -5.0, 4.0
211763.376743458, 211763.442011875, -5.0, 4.0
211763.52694725, 211763.592080375, -5.0, 4.0
211764.377105333, 211764.827061417, 8.03500080108643, 4.0
211766.07692275, 211766.376868792, 3.25, 4.0
211766.927001333, 211766.992279333, -5.0, 4.0
he is still on our team, 84, false, 5
211770.443866292, 211770.82722825, 9.02500057220459, 4.0
211771.460569542, 211771.509343542, -5.0, 4.0
211771.994063667, 211772.343886292, 5.23000049591064, 4.0
211773.12728125, 211773.192746958, -5.0, 4.0
211773.294084792, 211773.359397542, -5.0, 4.0
211773.460631125, 211773.542774, -5.0, 4.0
211774.444283417, 211775.67753175, 1.02250003814697, 4.0
211776.094095542, 211776.160825875, -5.0, 4.0
211776.244299458, 211776.326340333, -5.0, 4.0
211777.528087625, 211778.094284792, 7.21000003814697, 4.0
211779.14444725, 211780.343293125, 21.3999996185303, 4.0
211781.027834, 211781.0932085, -5.0, 4.0
211781.194529167, 211781.244398625, -5.0, 4.0
211781.328215125, 211781.394533, -5.0, 4.0
211781.477874625, 211781.526824583, -5.0, 4.0
211781.777955375, 211781.843227917, -5.0, 4.0
211782.728087125, 211782.861554583, 0.0325002670288086, 4.0
211783.461236333, 211783.5433765, -5.0, 4.0
211783.628276917, 211783.710066792, -5.0, 4.0
211784.827964, 211785.778126875, 17.3575000762939, 4.0
211786.378302208, 211786.426924542, -5.0, 4.0
211786.54512475, 211786.59347225, -5.0, 4.0
211787.261660542, 211788.977175458, 19.0900001525879, 4.0
211789.595014917, 211789.6617235, -5.0, 4.0
211790.0788185, 211790.511841042, 9.60249996185303, 4.0
211791.461933125, 211791.994021458, 11.2525005340576, 4.0
211792.778711083, 211792.86059125, -5.0, 4.0
211792.945546333, 211793.010677917, -5.0, 4.0
211793.36217675, 211793.828845958, 11.0874996185303, 4.0
211794.977416958, 211795.060859167, -5.0, 4.0
