beautiful paintings in the gallery, 0, false, 1
beautiful paintings in the gallery, 165, false, 1
207766.783855708, 207767.133734708, -0.792500019073486, 4.0
207767.917342208, 207768.799439417, 22.2250003814697, 4.0
207769.300573917, 207769.417289792, -5.0, 4.0
207769.467160167, 207769.584100542, -5.0, 4.0
207769.617647958, 207769.732634708, -5.0, 4.0
207769.817432083, 207769.933916208, -5.0, 4.0
207771.434044375, 207771.817411208, -1.70000004768372, 4.0
207772.750886042, 207772.850659458, 100.0, 1.0
207772.700716375, 207773.416288208, -5.0, 4.0
207773.817497667, 207775.217716625, 2.50750017166138, 4.0
207775.967609083, 207776.066387708, -5.0, 4.0
207776.134615375, 207776.234766375, -5.0, 4.0
207776.934617792, 207777.534551625, 1.02250003814697, 4.0
207778.56664575, 207778.666615, -5.0, 4.0
207778.718104417, 207778.833242667, -5.0, 4.0
207778.901287917, 207779.000843292, -5.0, 4.0
207779.9179845, 207780.301307083, 1.43499994277954, 4.0
207781.051573333, 207783.051576833, 16.9450016021729, 4.0
207783.534821167, 207783.667134375, -5.0, 4.0
207784.168260625, 207784.635008542, 3.00250053405762, 4.0
207785.334935292, 207785.450339125, -5.0, 4.0
207785.501660167, 207785.601757417, -5.0, 4.0
207785.668391542, 207785.768349125, -5.0, 4.0
207785.834997, 207785.95055475, -5.0, 4.0
207786.518494125, 207787.383824042, 16.0375003814697, 4.0
207788.285096083, 207788.368489417, -5.0, 4.0
207788.451918458, 207788.535285625, -5.0, 4.0
207788.602001292, 207788.700571708, -5.0, 4.0
207788.771166167, 207788.851936667, -5.0, 4.0
207788.918451333, 207789.017308708, -5.0, 4.0
207789.468594708, 207792.51906575, 0.692500114440918, 4.0
207793.535405792, 207793.650878958, -5.0, 4.0
207793.735749, 207793.800974292, -5.0, 4.0
207794.335597792, 207795.319046333, 18.1000003814697, 4.0
207795.968807417, 207796.052284542, -5.0, 4.0
207796.13577825, 207796.217719417, -5.0, 4.0
207796.28580675, 207796.38571675, -5.0, 4.0
207796.885868375, 207797.784657042, 14.0574989318848, 4.0
207798.469217167, 207798.567868667, -5.0, 4.0
207798.636323333, 207798.734609667, -5.0, 4.0
207799.202697708, 207800.836087, 13.1499996185303, 4.0
207802.069470125, 207802.852831958, 1.02250003814697, 4.0
207803.719619417, 207803.91940125, 100.0, 1.0
207803.552819375, 207804.251627208, -5.0, 4.0
207804.436226292, 207804.569681708, 100.0, 1.0
207804.436226292, 207804.902895875, -5.0, 4.0
207805.1028245, 207806.086329792, 12.1599998474121, 4.0
207806.769621833, 207806.885027333, -5.0, 4.0
207806.936883792, 207807.036348875, -5.0, 4.0
207807.086454458, 207807.186656833, -5.0, 4.0
207807.252947292, 207807.336332958, -5.0, 4.0
207807.719780542, 207808.236537458, 8.11750030517578, 4.0
207809.069924833, 207810.436781167, 4.07499980926514, 4.0
207810.903249125, 207811.018689167, -5.0, 4.0
207811.070020792, 207811.169979, -5.0, 4.0
207811.220022542, 207811.319990042, -5.0, 4.0
207811.386646292, 207811.485628917, -5.0, 4.0
207811.519976333, 207811.636777083, -5.0, 4.0
207811.722580042, 207811.785757125, -5.0, 4.0
207811.869961667, 207811.970033542, -5.0, 4.0
207812.186884917, 207812.270049333, -5.0, 4.0
207813.37016575, 207813.870213625, 5.3125, 4.0
207814.437046083, 207814.553456042, -5.0, 4.0
207814.603517542, 207814.703699292, -5.0, 4.0
207814.770341458, 207814.868982375, -5.0, 4.0
207814.9369195, 207815.020256708, -5.0, 4.0
207815.086929292, 207815.202389625, -5.0, 4.0
207815.253733583, 207815.35232575, -5.0, 4.0
207815.92033925, 207815.986971208, -5.0, 4.0
207816.137133375, 207816.203562292, -5.0, 4.0
207816.304080708, 207816.370477, -5.0, 4.0
207817.437175583, 207818.636002958, 19.4200000762939, 4.0
i can play much better now, 123, false, 3
207822.904159625, 207824.186414792, 11.0050010681152, 4.0
207825.221032833, 207825.6876235, 2.01250028610229, 4.0
207826.804323417, 207826.903094875, -5.0, 4.0
