popularity is desired by all, 0, false, 1
popularity is desired by all, 117, false, 1
203524.958705375, 203526.007533583, 12.0774993896484, 4.0
203526.592079667, 203526.690800792, -5.0, 4.0
203526.791926208, 203526.890552542, -5.0, 4.0
203526.992303583, 203527.074236958, -5.0, 4.0
203527.19215875, 203527.290958042, -5.0, 4.0
203527.475314542, 203527.525476583, -5.0, 4.0
203535.026051833, 203535.15910625, 100.0, 1.0
203535.026051833, 203535.842691, 100.0, 1.0
203535.026051833, 203536.492605708, 100.0, 1.0
203535.026051833, 203537.159418792, 100.0, 1.0
203535.026051833, 203537.742725458, 100.0, 1.0
203535.026051833, 203538.359335208, 100.0, 1.0
203535.026051833, 203538.992837917, 100.0, 1.0
203535.026051833, 203539.592741792, 100.0, 1.0
203535.026051833, 203540.159428708, 100.0, 1.0
203535.026051833, 203540.709485417, 100.0, 1.0
203535.026051833, 203541.759734333, 4.15750026702881, 4.0
203543.909921917, 203544.009694125, 100.0, 1.0
203543.909921917, 203545.026414708, 100.0, 1.0
203543.809764417, 203545.358708458, -5.0, 4.0
203545.893244583, 203546.225286167, -0.957499980926514, 4.0
203548.510261833, 203548.610232, -0.792500019073486, 4.0
203549.043479958, 203549.142247625, -5.0, 4.0
203549.243563042, 203549.3255925, -5.0, 4.0
203551.3603385, 203552.225757708, 20.3274993896484, 4.0
203552.727026542, 203552.825849042, -5.0, 4.0
203552.927181208, 203553.009233875, -5.0, 4.0
203553.110774333, 203553.192496917, -5.0, 4.0
203553.479491167, 203553.560428833, -5.0, 4.0
203554.960535958, 203555.759318917, 16.3674983978271, 4.0
203556.293675375, 203556.375980167, -5.0, 4.0
203556.493739792, 203556.578104583, -5.0, 4.0
203557.610733458, 203558.49278775, 12.2424983978271, 4.0
203559.144077167, 203559.25967325, -5.0, 4.0
203559.360985542, 203559.459647458, -5.0, 4.0
203559.57763075, 203559.644415667, -5.0, 4.0
203559.911199708, 203559.992932917, -5.0, 4.0
203560.111242542, 203560.192936167, -5.0, 4.0
203560.294225625, 203560.377492458, -5.0, 4.0
203561.311097542, 203561.909913042, 11.0050010681152, 4.0
203562.394233083, 203562.493074333, -5.0, 4.0
203562.611258875, 203562.709665125, -5.0, 4.0
203562.811172833, 203562.894541917, -5.0, 4.0
203563.0110605, 203563.110026875, -5.0, 4.0
203563.211177042, 203563.294482583, -5.0, 4.0
203563.477917208, 203563.559838917, -5.0, 4.0
203565.094662167, 203565.56020775, 3.16750049591064, 4.0
203566.061357625, 203566.160075667, -5.0, 4.0
203566.244624042, 203566.3601695, -5.0, 4.0
203566.444809708, 203566.543375875, -5.0, 4.0
203566.644636792, 203566.726747875, -5.0, 4.0
203566.827856208, 203566.926790833, -5.0, 4.0
203567.044688708, 203567.160253458, -5.0, 4.0
203567.727976167, 203567.843607667, -5.0, 4.0
203567.961487583, 203568.060124167, -5.0, 4.0
203568.928141, 203569.343587292, -5.0, 4.0
203571.177062875, 203571.244985125, -5.0, 4.0
203572.295098667, 203572.493826958, 4.15750026702881, 4.0
203573.261832958, 203573.328366583, -5.0, 4.0
203573.462107542, 203573.527282417, -5.0, 4.0
203576.912112333, 203577.660842375, 18.0174999237061, 4.0
203578.261984333, 203578.360884458, -5.0, 4.0
203578.462169417, 203578.545478958, -5.0, 4.0
203578.645536417, 203578.72766025, -5.0, 4.0
203578.812126833, 203578.89558875, -5.0, 4.0
203579.012234333, 203579.110927833, -5.0, 4.0
203579.995568167, 203580.344242833, -5.0, 4.0
203581.028846917, 203581.477689, -5.0, 4.0
203583.42915875, 203584.411274583, 19.0900001525879, 4.0
203584.962482542, 203585.061233583, -5.0, 4.0
203585.162521875, 203585.245585583, -5.0, 4.0
203585.329005833, 203585.428047792, -5.0, 4.0
203585.512484875, 203585.611304333, -5.0, 4.0
203585.696034417, 203585.729346042, -5.0, 4.0
203586.629590875, 203587.028151792, -5.0, 4.0
203587.496138292, 203587.946090083, -5.0, 4.0
203590.012854375, 203590.711980875, 15.2124996185303, 4.0
203591.329592, 203591.428364417, -5.0, 4.0
203591.529737625, 203591.611742917, -5.0, 4.0
203591.729907833, 203591.796319583, -5.0, 4.0
203591.896410125, 203591.978402083, -5.0, 4.0
203592.312897667, 203592.4117775, -5.0, 4.0
203593.496528542, 203594.211941458, 12.0774993896484, 4.0
203594.796524917, 203594.895262917, -5.0, 4.0
203594.996577292, 203595.078776042, -5.0, 4.0
203595.213327917, 203595.27855425, -5.0, 4.0
203595.429903625, 203595.528793167, -5.0, 4.0
203595.663414583, 203595.745324708, -5.0, 4.0
i cannot believe i ate the whole thing, 169, false, 3
203601.163636208, 203601.612353917, 8.28250026702881, 4.0
203603.263755958, 203603.345876333, 0.115000247955322, 4.0
203603.813720208, 203603.897035667, -5.0, 4.0
203604.013892583, 203604.095836333, -5.0, 4.0
203605.080697042, 203605.313832792, 2.17750024795532, 4.0
203606.19723675, 203606.263908083, -5.0, 4.0
203606.380594792, 203606.46275925, -5.0, 4.0
203606.5807585, 203606.646077792, -5.0, 4.0
203607.497404125, 203607.647139542, 0.115000247955322, 4.0
203609.414215583, 203610.029621458, 12.1599998474121, 4.0
203610.914290875, 203610.979575167, -5.0, 4.0
203611.097941667, 203611.179659042, -5.0, 4.0
203611.280941542, 203611.36305175, -5.0, 4.0
203611.614273833, 203611.713059833, -5.0, 4.0
203612.614346542, 203613.22997975, 12.0774993896484, 4.0
203614.097613667, 203614.197728708, -5.0, 4.0
203614.331409542, 203614.430029, -5.0, 4.0
203614.548062708, 203614.6298705, -5.0, 4.0
203614.747786875, 203614.846625875, -5.0, 4.0
203615.097956, 203615.181051958, -5.0, 4.0
203616.164774, 203616.779996042, 13.0675010681152, 4.0
203617.247972833, 203617.331242208, -5.0, 4.0
203617.448209917, 203617.531274417, -5.0, 4.0
203617.6481355, 203617.714813792, -5.0, 4.0
203617.864760667, 203617.948284042, -5.0, 4.0
203618.081588042, 203618.147832208, -5.0, 4.0
203619.831539208, 203621.663443083, 17.0275001525879, 4.0
203622.200788, 203622.280393125, -5.0, 4.0
203622.398323, 203622.481588042, -5.0, 4.0
203622.598658958, 203622.680442, -5.0, 4.0
203622.798388333, 203622.880503042, -5.0, 4.0
203623.015094417, 203623.097147875, -5.0, 4.0
203624.21517475, 203624.298415375, -0.875, 4.0
203624.815227083, 203624.897186958, -5.0, 4.0
203624.998645, 203625.080605792, -5.0, 4.0
203626.68193475, 203626.998620042, 2.09500026702881, 4.0
203627.465387375, 203627.564087375, -5.0, 4.0
203628.532142042, 203629.580878417, 4.32250022888184, 4.0
203630.265522833, 203630.332230458, -5.0, 4.0
203630.465737417, 203630.547569583, -5.0, 4.0
203630.68241925, 203630.748742542, -5.0, 4.0
203630.932221792, 203631.031107375, -5.0, 4.0
