do you prefer a window seat, 0, false, 1
do you prefer a window seat, 81, false, 1
295932.726238375, 295932.791438333, -5.0, 4.0
295932.909617958, 295932.959406583, -5.0, 4.0
295933.059320167, 295933.174735667, -5.0, 4.0
never mix religion and politics, 75, false, 3
295936.84302575, 295937.441731958, 13.2325000762939, 4.0
295937.976264917, 295938.059662417, -5.0, 4.0
295938.376415917, 295938.759793708, 6.46749973297119, 4.0
295939.243182792, 295939.358469917, -5.0, 4.0
295939.426401292, 295939.525229208, -5.0, 4.0
295939.926548167, 295940.926555833, 21.2350006103516, 4.0
295942.010013208, 295942.343192625, 6.22000026702881, 4.0
295942.876680917, 295942.976652417, -5.0, 4.0
295943.060197208, 295943.1587905, -5.0, 4.0
295943.460124458, 295944.059009958, 19.1725006103516, 4.0
295944.7268065, 295944.843359625, -5.0, 4.0
295944.926822042, 295945.042183833, -5.0, 4.0
295945.126923, 295945.242242875, -5.0, 4.0
295947.743647625, 295947.877277833, 0.279999732971191, 4.0
295948.977194542, 295949.659119333, 14.0574989318848, 4.0
295950.210387, 295950.309198125, -5.0, 4.0
295950.410498667, 295950.509204917, -5.0, 4.0
295951.310675125, 295951.7426445, 9.19000053405762, 4.0
295952.79405, 295955.359460833, 22.0599994659424, 4.0
295956.027445375, 295956.126211417, -5.0, 4.0
295956.22766375, 295956.309497208, -5.0, 4.0
295956.910910792, 295957.077611625, 0.0325002670288086, 4.0
295958.061125083, 295958.693298125, 17.1925010681152, 4.0
295959.327719125, 295959.410966583, -5.0, 4.0
295959.711135292, 295960.027873375, 4.15750026702881, 4.0
295960.561063917, 295960.659820792, -5.0, 4.0
295960.744466167, 295960.826648167, -5.0, 4.0
295960.928134625, 295961.011090042, -5.0, 4.0
295961.07796175, 295961.177933125, -5.0, 4.0
295961.694602792, 295962.243292167, 12.3249988555908, 4.0
295963.311760625, 295963.81032425, 10.1800003051758, 4.0
295964.344741792, 295964.444608917, -5.0, 4.0
295964.845102542, 295965.310128667, 9.19000053405762, 4.0
295965.994839625, 295966.110270333, -5.0, 4.0
295966.195094583, 295966.278204333, -5.0, 4.0
295966.378087125, 295966.476908583, -5.0, 4.0
295966.944956542, 295967.394912083, 9.10750007629395, 4.0
295968.295084583, 295969.193778542, 14.3049983978271, 4.0
295969.795192292, 295969.860528792, -5.0, 4.0
295970.195190875, 295970.910693667, 14.0574989318848, 4.0
295971.57848275, 295971.6272295, -5.0, 4.0
295972.261867542, 295972.560592, -5.0, 4.0
295973.645684625, 295973.795455083, 1.10500001907349, 4.0
295974.712043333, 295976.678917625, 3.08500003814697, 4.0
295977.428924375, 295977.495560125, -5.0, 4.0
295977.612131917, 295977.677786375, -5.0, 4.0
295977.779234917, 295977.862194125, -5.0, 4.0
295978.395771292, 295979.045823208, 13.0675010681152, 4.0
295979.628985417, 295979.727832583, -5.0, 4.0
295980.179130042, 295980.479141917, 2.01250028610229, 4.0
295981.195730125, 295981.295797583, -5.0, 4.0
295981.412604583, 295981.477904125, -5.0, 4.0
295981.595969292, 295981.662494708, -5.0, 4.0
295981.795906958, 295981.896040958, -5.0, 4.0
295983.0965395, 295983.212373458, 0.0325002670288086, 4.0
295983.946104292, 295984.745993375, 15.3775005340576, 4.0
295985.312701583, 295985.411482625, -5.0, 4.0
295985.829688333, 295986.611766542, 17.2749996185303, 4.0
295987.229465208, 295987.328208083, -5.0, 4.0
295987.41300875, 295987.511627833, -5.0, 4.0
295987.579655792, 295987.678386792, -5.0, 4.0
295987.76276125, 295987.861613833, -5.0, 4.0
295988.413034625, 295989.06174075, 11.0050010681152, 4.0
295989.612975625, 295989.679736417, -5.0, 4.0
295989.796560042, 295989.878457042, -5.0, 4.0
295990.379874833, 295990.796298042, 9.35500049591064, 4.0
295991.829914083, 295992.611969375, 19.1725006103516, 4.0
295993.646967458, 295994.095505792, 8.03500080108643, 4.0
295994.863296208, 295994.978814292, -5.0, 4.0
295995.080165292, 295995.146749292, -5.0, 4.0
295995.596869708, 295995.896575417, 3.00250053405762, 4.0
295996.496911958, 295996.59565725, -5.0, 4.0
295996.680395083, 295996.778906, -5.0, 4.0
295997.230263792, 295998.030269708, 18.1000003814697, 4.0
295998.680285542, 295998.762357833, -5.0, 4.0
longer than a football field, 72, false, 4
296003.814077667, 296004.263156375, 15.2124996185303, 4.0
296005.664172083, 296005.730563833, 100.0, 1.0
296006.214064625, 296006.98086325, 12.0774993896484, 4.0
296007.781069625, 296008.279804458, 14.0574989318848, 4.0
296008.880966, 296008.996444792, -5.0, 4.0
296009.314399667, 296009.979851042, 15.0475006103516, 4.0
296011.479760333, 296011.54768825, -5.0, 4.0
296011.664799167, 296011.764455583, -5.0, 4.0
296012.264624833, 296012.69783275, 6.13749980926514, 4.0
296013.298003917, 296013.381211042, -5.0, 4.0
296013.481415375, 296013.580018583, -5.0, 4.0
296013.664772667, 296013.78005875, -5.0, 4.0
296014.331375083, 296014.748056167, 6.05500030517578, 4.0
296015.36467075, 296015.464639, -5.0, 4.0
296015.581714458, 296015.648192542, -5.0, 4.0
296016.1482075, 296017.263849917, 17.1100006103516, 4.0
296017.848145875, 296017.946946042, -5.0, 4.0
296019.114912667, 296019.248206125, -0.875, 4.0
296020.098674208, 296021.047199625, 20.0799999237061, 4.0
296021.731760083, 296021.86391775, -5.0, 4.0
296022.448637542, 296023.230793083, 8.11750030517578, 4.0
