not quite so smart as you think, 0, false, 1
not quite so smart as you think, 89, false, 1
192030.3436005, 192030.392548708, -5.0, 4.0
192032.060449458, 192032.393819917, 1.02250003814697, 4.0
192032.893831042, 192032.977086625, -5.0, 4.0
192033.060419792, 192033.15924225, -5.0, 4.0
192034.527284125, 192034.91064125, 2.01250028610229, 4.0
192037.810844042, 192038.927620167, 11.0874996185303, 4.0
192039.6276065, 192039.692988333, -5.0, 4.0
192039.77792675, 192039.859665167, -5.0, 4.0
192039.9276645, 192040.009833875, -5.0, 4.0
192040.844392875, 192041.411075375, 11.2525005340576, 4.0
192041.927785917, 192042.011162375, -5.0, 4.0
192042.077813708, 192042.176491917, -5.0, 4.0
192043.511335167, 192043.811731958, 1.1875, 4.0
192044.380441875, 192044.443451042, -5.0, 4.0
192044.5281265, 192044.593405583, -5.0, 4.0
192045.511407667, 192046.893583833, 20.4924983978271, 4.0
192047.51130375, 192047.57807625, -5.0, 4.0
192048.778382333, 192049.478298208, 17.0275001525879, 4.0
192050.09498725, 192050.19372475, -5.0, 4.0
192051.12843725, 192051.628339375, 2.01250028610229, 4.0
192053.578647833, 192054.293990917, 6.22000026702881, 4.0
192054.962019167, 192055.027264, -5.0, 4.0
192055.128778958, 192055.194087292, -5.0, 4.0
192055.29536125, 192055.343992667, -5.0, 4.0
192056.178809667, 192056.912180042, 7.21000003814697, 4.0
192057.895456125, 192057.977508083, -5.0, 4.0
192058.078945917, 192058.144265875, -5.0, 4.0
192058.445481167, 192058.560930833, -5.0, 4.0
192059.979122667, 192060.629075875, 9.27250003814697, 4.0
192062.47923075, 192062.929285042, 4.07499980926514, 4.0
192063.81250025, 192063.8792095, -5.0, 4.0
192063.996036208, 192064.045878458, -5.0, 4.0
192064.395797083, 192064.444577792, -5.0, 4.0
the punishment should fit the crime, 117, false, 4
192071.613034333, 192072.295881625, 21.1525001525879, 4.0
192073.012992375, 192073.08001625, -5.0, 4.0
192073.163278667, 192073.229996792, -5.0, 4.0
192073.330003125, 192073.378644333, -5.0, 4.0
192074.579865542, 192075.078798792, 7.04500007629395, 4.0
192075.763292917, 192075.86206375, -5.0, 4.0
192075.930376875, 192076.013354667, -5.0, 4.0
192076.096667208, 192076.195387, -5.0, 4.0
192076.413326917, 192076.495593125, -5.0, 4.0
192077.730110292, 192078.363499708, 5.06500053405762, 4.0
192079.445709333, 192079.530254417, -5.0, 4.0
192079.647122333, 192079.728946667, -5.0, 4.0
192079.830578792, 192079.912333875, -5.0, 4.0
192080.246760417, 192080.330314083, -5.0, 4.0
192081.763756417, 192082.130499833, 2.01250028610229, 4.0
192083.17922375, 192083.246141083, -5.0, 4.0
192083.364153375, 192083.429122833, -5.0, 4.0
192084.56399125, 192085.429497083, 16.0375003814697, 4.0
192086.947532083, 192087.662851625, 22.0599994659424, 4.0
192089.396273833, 192089.496318, -5.0, 4.0
192089.564294375, 192089.646380375, -5.0, 4.0
192089.730995083, 192089.82962175, -5.0, 4.0
192091.347711125, 192092.113058333, 16.2024993896484, 4.0
192093.047925292, 192093.113131042, -5.0, 4.0
192093.181330083, 192093.263383583, -5.0, 4.0
192093.564545167, 192093.630884292, -5.0, 4.0
192093.7977925, 192093.863477167, -5.0, 4.0
192095.348071167, 192096.13019525, 10.0150003433228, 4.0
192097.847979292, 192098.8479945, 20.0799999237061, 4.0
192101.1803775, 192101.24701425, -5.0, 4.0
192101.331768875, 192101.413705375, -5.0, 4.0
192101.498320042, 192101.580541833, -5.0, 4.0
192103.315284292, 192104.064140333, 9.19000053405762, 4.0
192104.798616833, 192104.863928333, -5.0, 4.0
192105.715355958, 192106.397547417, 12.1599998474121, 4.0
192107.51531275, 192107.614072458, -5.0, 4.0
192107.69910425, 192107.764132458, -5.0, 4.0
192109.698933792, 192110.214033667, 6.05500030517578, 4.0
192110.832448792, 192110.897684167, -5.0, 4.0
192110.999100833, 192111.049030583, -5.0, 4.0
192111.132363708, 192111.215722, -5.0, 4.0
192111.432163208, 192111.497874417, -5.0, 4.0
192112.349171208, 192113.065567917, 13.2325000762939, 4.0
192114.032590208, 192114.114655458, -5.0, 4.0
192114.232759292, 192114.299382583, -5.0, 4.0
192115.182690125, 192116.182609625, 18.1000003814697, 4.0
192116.899415792, 192116.982662833, -5.0, 4.0
192117.065993708, 192117.132966083, -5.0, 4.0
192117.182734958, 192117.264762167, -5.0, 4.0
192118.399657125, 192119.732949167, 2.01250028610229, 4.0
192120.399440125, 192120.498272875, -5.0, 4.0
192120.583129458, 192120.648314708, -5.0, 4.0
192122.5500035, 192123.198519958, 21.0700016021729, 4.0
192123.899961625, 192123.965320167, -5.0, 4.0
192124.066527875, 192124.115215083, -5.0, 4.0
192124.200158125, 192124.265213875, -5.0, 4.0
192124.583079833, 192124.666434583, -5.0, 4.0
192124.816611792, 192124.883189917, -5.0, 4.0
