the location of the crime, 0, false, 1
the location of the crime, 80, false, 1
240248.745251917, 240248.860686167, -5.0, 4.0
240248.962074958, 240249.044064875, -5.0, 4.0
240249.628630042, 240250.762327625, 18.1824989318848, 4.0
240251.328671917, 240251.427476458, -5.0, 4.0
240251.86219975, 240253.412209917, 24.0399990081787, 4.0
240254.845660292, 240255.195687917, 1.10500001907349, 4.0
240256.112848417, 240257.712553875, 8.94250011444092, 4.0
240258.17914425, 240258.2947175, -5.0, 4.0
240259.112680333, 240259.879392708, 15.1300010681152, 4.0
240261.162514625, 240262.912888458, 13.1499996185303, 4.0
240263.429535167, 240263.5461045, -5.0, 4.0
240263.612987458, 240263.713046542, -5.0, 4.0
240264.51295075, 240265.013006208, 6.22000026702881, 4.0
240265.547162625, 240265.678506167, -5.0, 4.0
240265.746372875, 240265.845128292, -5.0, 4.0
240265.963305208, 240266.07852025, -5.0, 4.0
240266.179653208, 240266.278743458, -5.0, 4.0
240266.8798905, 240268.096704167, 19.0900001525879, 4.0
240269.046717958, 240270.47992525, 21.0700016021729, 4.0
240271.446709708, 240271.546715625, -5.0, 4.0
240271.613398375, 240271.711852917, -5.0, 4.0
240271.829633417, 240271.945271333, -5.0, 4.0
a subject one can really enjoy, 111, false, 4
240274.31358075, 240274.646983542, 2.01250028610229, 4.0
240275.24689475, 240275.329076417, -5.0, 4.0
240276.313523792, 240276.64707775, 1.02250003814697, 4.0
240277.797213917, 240278.847450042, 19.0075016021729, 4.0
240279.914331333, 240281.097420917, 20.0799999237061, 4.0
240281.914444708, 240283.297615833, 2.91999959945679, 4.0
240283.730975083, 240283.86299075, -5.0, 4.0
240283.931272667, 240284.046323292, -5.0, 4.0
240285.047679458, 240285.881398708, 8.11750030517578, 4.0
240286.514456875, 240286.597715083, -5.0, 4.0
240286.69792425, 240286.796430625, -5.0, 4.0
240286.897915083, 240286.996454792, -5.0, 4.0
240287.214320708, 240287.346578417, -5.0, 4.0
240287.96464675, 240288.647842125, 4.07499980926514, 4.0
240289.264561125, 240289.38112025, -5.0, 4.0
240289.531271583, 240289.646723417, -5.0, 4.0
240289.714827208, 240289.814709917, -5.0, 4.0
240289.88129575, 240290.014611458, -5.0, 4.0
240290.064568417, 240290.213407167, -5.0, 4.0
240290.364754125, 240290.496789625, -5.0, 4.0
240290.648083083, 240290.748135542, -5.0, 4.0
240290.881402875, 240290.981274917, -5.0, 4.0
240291.04825425, 240291.163185375, -5.0, 4.0
240292.031736667, 240292.181341542, 100.0, 1.0
240291.931386083, 240292.496891333, -5.0, 4.0
240293.248096958, 240294.014873208, 5.06500053405762, 4.0
240294.498018917, 240294.63151775, -5.0, 4.0
240294.715224042, 240294.813704708, -5.0, 4.0
240294.89839625, 240294.997025125, -5.0, 4.0
240295.181282, 240295.296696, -5.0, 4.0
240296.315082042, 240296.998339375, 1.02250003814697, 4.0
240297.465028708, 240297.597338292, -5.0, 4.0
240297.648093875, 240297.764756292, -5.0, 4.0
240297.848248167, 240297.963877125, -5.0, 4.0
240298.531949958, 240299.465320375, 22.1424999237061, 4.0
240300.115345125, 240300.214203917, -5.0, 4.0
240300.315487542, 240300.414084917, -5.0, 4.0
240300.48219675, 240300.580804625, -5.0, 4.0
240300.748623917, 240300.847538333, -5.0, 4.0
240301.148584167, 240301.247407542, -5.0, 4.0
240302.048824458, 240302.215455792, -0.957499980926514, 4.0
240303.265502083, 240304.215587167, 17.2749996185303, 4.0
240304.882218625, 240304.997675958, -5.0, 4.0
240305.06560425, 240305.16432325, -5.0, 4.0
240305.24890125, 240305.347671458, -5.0, 4.0
240305.53241775, 240305.61559275, -5.0, 4.0
240306.065667333, 240307.165796792, 12.0774993896484, 4.0
240307.699041125, 240307.814475, -5.0, 4.0
240307.901642458, 240308.015762292, -5.0, 4.0
240308.082533625, 240308.197786458, -5.0, 4.0
240308.3659785, 240308.466020833, -5.0, 4.0
240308.765814875, 240308.881217375, -5.0, 4.0
240310.182764833, 240310.749344167, 5.06500053405762, 4.0
240311.316011292, 240311.431435625, -5.0, 4.0
240311.516197667, 240311.631385042, -5.0, 4.0
240311.699607875, 240311.814810917, -5.0, 4.0
