questioning the wisdom of the courts, 0, false, 1
questioning the wisdom of the courts, 148, false, 1
300402.552590375, 300402.634538, -5.0, 4.0
300403.519264375, 300404.9360705, 6.05500030517578, 4.0
300407.218175625, 300407.301540958, -5.0, 4.0
300407.402844583, 300407.486616792, -5.0, 4.0
300407.586211833, 300407.668345, -5.0, 4.0
300407.752879958, 300407.834967083, -5.0, 4.0
300407.902981625, 300408.001768958, -5.0, 4.0
300408.086029958, 300408.168269208, -5.0, 4.0
300408.469405458, 300408.568379458, -5.0, 4.0
300408.90300425, 300408.984955542, -5.0, 4.0
300410.084979708, 300410.451752458, -5.0, 4.0
300411.0364575, 300411.401804292, -5.0, 4.0
300412.886700167, 300413.553295042, 2.01250028610229, 4.0
300414.270075, 300414.368777042, -5.0, 4.0
300414.486775958, 300414.536370292, -5.0, 4.0
300414.653024667, 300414.7186905, -5.0, 4.0
300414.836782208, 300414.935577167, -5.0, 4.0
300415.11985175, 300415.202024625, -5.0, 4.0
300416.703443833, 300416.936872, 0.197499752044678, 4.0
300419.170297125, 300421.419236292, 22.0599994659424, 4.0
300422.203808375, 300422.737187458, 10.1800003051758, 4.0
300424.119356292, 300424.186017792, -5.0, 4.0
300424.903992375, 300426.686157917, 18.0174999237061, 4.0
300427.554151708, 300427.669503125, -5.0, 4.0
300428.470879375, 300429.28764825, 4.07499980926514, 4.0
300430.037828542, 300430.1368515, -5.0, 4.0
300430.221139292, 300430.319652583, -5.0, 4.0
300431.054385833, 300432.138133958, 13.0675010681152, 4.0
300433.054472208, 300433.136612542, -5.0, 4.0
300433.238316417, 300433.33658375, -5.0, 4.0
300433.438205, 300433.536668833, -5.0, 4.0
300433.921265708, 300434.036639667, -5.0, 4.0
300434.521352917, 300435.788044292, 11.0050010681152, 4.0
300436.371349875, 300436.453476958, -5.0, 4.0
300436.55473325, 300436.653475167, -5.0, 4.0
300436.738316708, 300436.836808583, -5.0, 4.0
300437.10488, 300437.203514958, -5.0, 4.0
300438.221534375, 300438.421587708, -0.957499980926514, 4.0
