the bathroom is good for reading, 0, false, 1
244607.570191333, 244607.902215583, 5.23000049591064, 4.0
244608.5034855, 244608.635544167, -5.0, 4.0
244608.736908417, 244608.835529083, -5.0, 4.0
244608.986975292, 244609.085547083, -5.0, 4.0
244609.737015292, 244610.935389083, 19.3374996185303, 4.0
244611.737215458, 244611.852366833, -5.0, 4.0
244611.970740958, 244612.0537125, -5.0, 4.0
244612.237044708, 244612.336972625, -5.0, 4.0
244612.837155167, 244613.902591333, 18.1000003814697, 4.0
244614.337264958, 244614.43733025, -5.0, 4.0
244615.50430525, 244615.703989833, 2.01250028610229, 4.0
244616.637445833, 244617.187479708, 14.3049983978271, 4.0
244617.720802333, 244617.820668667, -5.0, 4.0
244617.937522458, 244618.020692333, -5.0, 4.0
244618.170961417, 244618.237620292, -5.0, 4.0
244618.73760175, 244619.586275583, 20.3274993896484, 4.0
244620.587580083, 244621.953184542, 18.1824989318848, 4.0
244622.737824833, 244623.519837083, 20.1625003814697, 4.0
244624.519862833, 244624.603309792, -5.0, 4.0
244625.221378542, 244625.421296333, 1.10500001907349, 4.0
244626.721478042, 244627.270246875, 11.1700000762939, 4.0
244627.888110375, 244628.00466025, -5.0, 4.0
244628.338203875, 244629.136944875, 14.4699993133545, 4.0
244629.654872833, 244629.771504042, -5.0, 4.0
244629.905422417, 244629.970317083, -5.0, 4.0
244630.405031417, 244631.003626875, 16.2024993896484, 4.0
244631.521565625, 244631.637062542, -5.0, 4.0
244631.755150875, 244631.853788, -5.0, 4.0
244632.288491583, 244632.937363833, 23.0500011444092, 4.0
244633.438504833, 244633.537306083, -5.0, 4.0
244634.121981458, 244634.30524925, 1.26999998092651, 4.0
244635.455375833, 244635.638650375, 0.0325002670288086, 4.0
244636.138537792, 244636.205218333, -5.0, 4.0
244636.605918917, 244637.304200917, 11.0874996185303, 4.0
244637.821986417, 244637.905427208, -5.0, 4.0
244638.038896667, 244638.122031917, -5.0, 4.0
244638.238990625, 244638.320804125, -5.0, 4.0
244638.988851708, 244639.470922792, 11.1700000762939, 4.0
244639.855625667, 244639.972121875, -5.0, 4.0
244640.122635208, 244640.221030458, -5.0, 4.0
244640.305686708, 244640.405529792, -5.0, 4.0
244641.105680583, 244641.288964042, 1.1875, 4.0
244642.306111083, 244643.488038875, 17.1100006103516, 4.0
244644.2890685, 244644.372538417, -5.0, 4.0
244644.473021958, 244644.571301917, -5.0, 4.0
244644.656029125, 244644.755869, -5.0, 4.0
244644.83935775, 244644.922602583, -5.0, 4.0
244645.055837, 244645.138040708, -5.0, 4.0
244645.705979917, 244646.188287667, 8.03500080108643, 4.0
244646.739206625, 244646.837994708, -5.0, 4.0
244647.222785917, 244647.62281575, 3.00250053405762, 4.0
244648.206099292, 244648.306033208, -5.0, 4.0
244648.40587625, 244648.504846958, -5.0, 4.0
244648.572907917, 244648.6548335, -5.0, 4.0
244648.739411458, 244648.821673667, -5.0, 4.0
244648.956098917, 244649.021498125, -5.0, 4.0
244649.156466, 244649.238145708, -5.0, 4.0
244650.306398167, 244650.421555625, -0.462500095367432, 4.0
244651.756337667, 244651.806127375, 100.0, 1.0
244652.639715583, 244652.921777792, 18.4299983978271, 4.0
244653.489944292, 244653.539849667, 100.0, 1.0
244654.056509667, 244654.139919458, 100.0, 1.0
244654.989897458, 244655.48881725, 8.03500080108643, 4.0
244656.423277875, 244656.505271, -5.0, 4.0
244656.623540667, 244656.705473292, -5.0, 4.0
244656.806880875, 244656.890227375, -5.0, 4.0
244657.00663675, 244657.088885125, -5.0, 4.0
244657.206566958, 244657.30561275, -5.0, 4.0
244658.506788042, 244658.606802708, -0.875, 4.0
244659.490167833, 244660.35560175, 18.1824989318848, 4.0
244661.206934167, 244661.273566583, -5.0, 4.0
244661.640610292, 244662.140347375, 24.1224994659424, 4.0
244663.057209417, 244663.155776583, -5.0, 4.0
244663.240580375, 244663.3227945, -5.0, 4.0
244663.407324167, 244663.472620542, -5.0, 4.0
244663.590329083, 244663.657100375, -5.0, 4.0
244663.907177042, 244664.005813792, -5.0, 4.0
244664.457337625, 244665.122634167, 11.3350009918213, 4.0
244665.707162958, 244665.82386325, -5.0, 4.0
244665.923970792, 244666.022746542, -5.0, 4.0
244666.424124, 244666.940693625, 3.16750049591064, 4.0
244667.524116042, 244667.606030167, -5.0, 4.0
244667.741170167, 244667.822777625, -5.0, 4.0
244667.907416583, 244667.989386792, -5.0, 4.0
244668.0907055, 244668.172823708, -5.0, 4.0
244668.324488875, 244668.389442375, -5.0, 4.0
244669.257588417, 244670.122931167, 17.0275001525879, 4.0
244670.757585625, 244670.839591833, -5.0, 4.0
244670.957715417, 244671.056410875, -5.0, 4.0
244671.174444458, 244671.289651917, -5.0, 4.0
are you talking to me, 64, false, 4
244675.475035917, 244675.741262, 3.08500003814697, 4.0
244676.357873833, 244676.456668417, -5.0, 4.0
244676.924683333, 244677.573457292, 20.1625003814697, 4.0
244678.474758583, 244678.606822667, -5.0, 4.0
244678.708064125, 244678.790122958, -5.0, 4.0
244678.907695583, 244678.989899292, -5.0, 4.0
244679.074758375, 244679.173592333, -5.0, 4.0
244679.32501675, 244679.406843292, -5.0, 4.0
244679.8748515, 244680.290281208, 6.05500030517578, 4.0
244680.94160425, 244681.040326208, -5.0, 4.0
244681.141604208, 244681.225220833, -5.0, 4.0
244681.358441125, 244681.423737042, -5.0, 4.0
244681.708251458, 244681.807020042, -5.0, 4.0
244682.6250685, 244682.708354542, -0.875, 4.0
244683.541457708, 244684.323968042, 27.5875015258789, 4.0
244685.008461958, 244685.10844425, -5.0, 4.0
244685.558665583, 244686.358649042, 14.7175006866455, 4.0
244687.025294875, 244687.123912542, -5.0, 4.0
244689.074255542, 244689.440929208, -5.0, 4.0
244690.208832875, 244691.15780075, 22.2250003814697, 4.0
244691.825603875, 244691.92560225, -5.0, 4.0
244692.042574458, 244692.141171625, -5.0, 4.0
244692.242329833, 244692.324373042, -5.0, 4.0
244692.458868667, 244692.542320917, -5.0, 4.0
244693.607960083, 244694.041182958, -5.0, 4.0
244695.1592005, 244695.325815792, 1.26999998092651, 4.0
244696.092692667, 244697.158209542, 19.0900001525879, 4.0
244697.826193792, 244697.891373083, -5.0, 4.0
244698.326108208, 244698.609435417, 4.07499980926514, 4.0
244699.176041542, 244699.2414715, -5.0, 4.0
244699.709563292, 244700.209568875, 12.3249988555908, 4.0
244700.709398792, 244700.8081665, -5.0, 4.0
244701.6095885, 244702.358468917, 12.0774993896484, 4.0
244702.9596905, 244703.042882292, -5.0, 4.0
244703.17654125, 244703.259637625, -5.0, 4.0
244703.793072292, 244704.358485167, 8.03500080108643, 4.0
244705.2099725, 244705.75885775, 13.1499996185303, 4.0
244706.309774417, 244706.40855825, -5.0, 4.0
244706.526640333, 244706.625247667, -5.0, 4.0
244707.160029375, 244707.842029667, 7.21000003814697, 4.0
244708.409957583, 244708.508858167, -5.0, 4.0
244708.643965708, 244708.725415083, -5.0, 4.0
244709.210136708, 244709.410081, 1.10500001907349, 4.0
244710.210211833, 244711.225753792, 19.0900001525879, 4.0
244711.726978417, 244711.825701917, -5.0, 4.0
244712.193841417, 244714.342506833, 11.9949989318848, 4.0
244715.193874708, 244715.275827042, -5.0, 4.0
244715.377169292, 244715.459262333, -5.0, 4.0
244715.560537875, 244715.64255425, -5.0, 4.0
244715.727215125, 244715.809253083, -5.0, 4.0
244715.893990292, 244715.975874375, -5.0, 4.0
244716.094057375, 244716.175954417, -5.0, 4.0
244716.327264042, 244716.409305542, -5.0, 4.0
244717.260490292, 244717.575929167, -5.0, 4.0
244718.527405125, 244720.194108125, 1.10500001907349, 4.0
244721.0776755, 244721.643006083, 12.2424983978271, 4.0
244722.19419875, 244722.292921417, -5.0, 4.0
244722.411042958, 244722.4929625, -5.0, 4.0
244722.911007708, 244723.327747542, 3.08500003814697, 4.0
244723.877662708, 244723.99307075, -5.0, 4.0
244724.077820042, 244724.159774917, -5.0, 4.0
244724.26111, 244724.343116333, -5.0, 4.0
244724.444377667, 244724.526479917, -5.0, 4.0
244724.661162292, 244724.7598075, -5.0, 4.0
toss the ball around, 63, false, 5
244726.827971333, 244727.960181208, 19.0900001525879, 4.0
244728.627933458, 244728.710193667, -5.0, 4.0
244729.128141042, 244729.593358708, 17.1925010681152, 4.0
244730.194686125, 244730.276878583, -5.0, 4.0
244730.411809083, 244730.476973333, -5.0, 4.0
244730.578401917, 244730.660308375, -5.0, 4.0
244730.778338458, 244730.86016325, -5.0, 4.0
244731.544947833, 244732.160388042, 18.1824989318848, 4.0
244732.845247542, 244733.477062708, 19.5025005340576, 4.0
244734.345214833, 244734.426993625, -5.0, 4.0
244735.545223583, 244735.661786708, 0.115000247955322, 4.0
244736.7288495, 244738.227119125, 19.1725006103516, 4.0
244739.012388, 244739.429210875, 8.11750030517578, 4.0
