expected,pressure,max,time,elapse,fall,mode,user,id,sentenceFirst,wordFirst,reset,selection
n,13.1499996185303,0.5625,1.0169817909772974,0.0,0.20021179132163525,char,guyizheng_1473671271,1,True,True,False,
o,14.1399993896484,0.5874999761581421,2.8486068340134807,1.9833892919996288,0.21549320867052302,char,guyizheng_1473671271,1,False,False,False,
t,18.0174999237061,0.6974999904632568,2.583291791001102,1.9181724579830188,0.18214529132819735,char,guyizheng_1473671271,1,False,False,False,
q,16.0375003814697,0.6650000214576721,5.4351123749802355,4.2851373339944985,0.1501524996419903,char,guyizheng_1473671271,1,False,True,False,
u,19.0900001525879,0.7350000143051147,3.1503219170263037,2.316949292027857,0.283544833335327,char,guyizheng_1473671271,1,False,False,False,
i,10.0150003433228,0.45500001311302185,2.4167324169829953,1.9165672919771168,0.13355145865352824,char,guyizheng_1473671271,1,False,False,False,
t,18.2649993896484,0.7300000190734863,2.8989634579920676,1.7669286660093348,0.2988447499810718,char,guyizheng_1473671271,1,False,False,False,
e,5.3125,0.32249999046325684,1.7845432920148596,1.4347576670115814,0.1166060836694669,char,guyizheng_1473671271,1,False,False,False,
,2.83750009536743,0.3474999964237213,3.900489874999039,2.350713457999518,1.3002327919821255,char,guyizheng_1473671271,1,False,False,False,
s,17.3575000762939,0.6875,3.633505707985023,2.96692479099147,0.2835358332959004,char,guyizheng_1473671271,1,False,True,False,
o,15.2124996185303,0.625,3.048915625025984,1.6166960000118706,0.5655387083243113,char,guyizheng_1473671271,1,False,False,False,
,17.1100006103516,0.6949999928474426,4.049927249987377,3.068345749983564,0.33178162499098107,char,guyizheng_1473671271,1,False,False,False,
s,19.1725006103516,0.7549999952316284,20.202945416996954,19.35284833298647,0.29986933365580626,char,guyizheng_1473671271,1,False,True,False,
m,12.1599998474121,0.5375000238418579,2.298783458012622,1.6835003750165924,0.24886704166419804,char,guyizheng_1473671271,1,False,False,False,
a,0.0325002670288086,0.16249999403953552,2.168128582998179,1.8014468750043306,0.06663470799685456,char,guyizheng_1473671271,1,False,False,False,
r,16.0375003814697,0.6499999761581421,2.2822678749798797,1.1508189589949325,0.19872279130504467,char,guyizheng_1473671271,1,False,False,False,
t,18.0174999237061,0.7124999761581421,3.433497542020632,2.551583042019047,0.2321396250044927,char,guyizheng_1473671271,1,False,False,False,
a,4.32250022888184,0.28999999165534973,4.935031125001842,4.668317957984982,0.0834867499943357,char,guyizheng_1473671271,1,False,True,False,
s,19.0075016021729,0.7400000095367432,2.7823731249955017,1.6834327919932548,0.1656329583202023,char,guyizheng_1473671271,1,False,False,False,
,2.17750024795532,0.2224999964237213,2.467919582995819,2.1844179579929914,0.16660608298843727,char,guyizheng_1473671271,1,False,False,False,
y,23.0500011444092,0.8575000166893005,2.8156358750129584,1.6502623340056743,0.26557658301317133,char,guyizheng_1473671271,1,False,True,False,
o,15.0475006103516,0.6075000166893005,2.5501543749996927,1.9513787089963444,0.14870299966423772,char,guyizheng_1473671271,1,False,False,False,
u,21.1525001525879,0.7975000143051147,1.5501894999761134,0.9846108749916311,0.14894804131472483,char,guyizheng_1473671271,1,False,False,False,
t,19.0075016021729,0.7275000214576721,5.1667805000033695,4.384820167004364,0.14879366630339064,char,guyizheng_1473671271,1,False,True,False,
h,7.53999996185303,0.5425000190734863,4.068259084015153,1.5681405840150546,1.7833588753419463,char,guyizheng_1473671271,1,False,False,False,
i,9.10750007629395,0.4300000071525574,2.9657317079836503,2.533532290981384,0.13235312499455176,char,guyizheng_1473671271,1,False,False,False,
n,13.1499996185303,0.5525000095367432,2.216746374993818,1.5846421669994015,0.1654515833070036,char,guyizheng_1473671271,1,False,False,False,
k,9.10750007629395,0.4375,2.500175000022864,1.7179733330267482,0.1822717500035651,char,guyizheng_1473671271,1,False,False,False,
e,7.12750053405762,0.3824999928474426,0.4334916669758968,0.0,0.21683837531600147,char,guyizheng_1473671271,2,True,True,False,
v,22.0599994659424,0.8299999833106995,4.681915332999779,3.3500887080153916,0.1984110833145678,char,guyizheng_1473671271,2,False,False,False,
e,4.15750026702881,0.29750001430511475,2.3670462500012945,1.9183730000222567,0.08185145832248963,char,guyizheng_1473671271,2,False,False,False,
r,17.1925010681152,0.6775000095367432,5.050381125009153,4.335076208022656,0.16545124998083338,char,guyizheng_1473671271,2,False,False,False,
y,23.0500011444092,0.8550000190734863,7.033758792007575,5.418445582996355,0.14860600032261573,char,guyizheng_1473671271,2,False,False,False,
,2.01250028610229,0.2224999964237213,3.751814082992496,3.468256082996959,0.11642224999377504,char,guyizheng_1473671271,2,False,False,False,
p,14.6350002288818,0.6225000023841858,4.515421749994857,3.3000436250003986,0.6321184999833349,char,guyizheng_1473671271,2,False,False,False,
p,16.2024993896484,0.6474999785423279,2.3668301250145305,1.684890542004723,0.2155324583291076,char,guyizheng_1473671271,2,False,False,False,
l,11.1700000762939,0.5099999904632568,2.833615749987075,1.8015653750044294,0.43210645832004957,char,guyizheng_1473671271,2,False,False,False,
e,7.12750053405762,0.3799999952316284,3.233623375010211,2.8347514170163777,0.11568287498084828,char,guyizheng_1473671271,2,False,False,False,
,1.02250003814697,0.20250000059604645,3.684771250002086,3.284890874987468,0.08352487499359995,char,guyizheng_1473671271,2,False,False,False,
f,7.29250049591064,0.3824999928474426,2.4822370419860817,2.000083041988546,0.13203712532413192,char,guyizheng_1473671271,2,False,True,False,
r,20.0799999237061,0.7724999785423279,3.0001495410106145,1.7179690830234904,0.19894958299119025,char,guyizheng_1473671271,2,False,False,False,
o,28.0,1.0,3.018120374996215,1.8347424590028822,0.03325179131934419,char,guyizheng_1473671271,2,False,False,False,
r,16.0375003814697,0.6424999833106995,7.732783709012438,6.935754167003324,0.2323954169987701,char,guyizheng_1473671271,2,False,False,False,
o,15.1300010681152,0.6349999904632568,3.9013134579872712,3.1679908329970203,0.1332389583112672,char,guyizheng_1473671271,2,False,False,False,
