word,time,elapse,selection,user,id,in_sentence,mode,sentence_first,reset
************,14.40086470899405,2.3503472080046777,0.0,guyizheng_1473671271,26,2,word,False,False
chamber,14.40086470899405,1.6655990830040537,2.4000664580089506,guyizheng_1473671271,26,1,word,False,False
makes,8.518568999978015,3.9002568750001956,0.0,guyizheng_1473671271,26,2,word,False,False
life,8.433883042016532,1.683563291997416,1.7999177079764195,guyizheng_1473671271,27,0,word,True,False
is,3.0836645000090357,4.617122124996968,0.0,guyizheng_1473671271,27,1,word,False,False
but,3.9166030420165043,2.833676957990974,0.0,guyizheng_1473671271,27,2,word,False,False
a,0.3500107919971924,2.1502071660070214,0.0,guyizheng_1473671271,27,3,word,False,False
historic,11.600718790985411,1.9834802499972284,0.0,guyizheng_1473671271,28,0,word,True,False
meeting,7.550494750001235,3.116892624995671,0.0,guyizheng_1473671271,28,1,word,False,False
without,7.117122709023533,1.783412541000871,0.0,guyizheng_1473671271,28,2,word,False,False
a,0.3000027499801945,1.7834372090001125,0.0,guyizheng_1473671271,28,3,word,False,False
that,4.533462166989921,2.350134790991433,0.0,guyizheng_1473671271,29,0,word,True,False
land,3.9503137500141747,2.618023416987853,2.282016167009715,guyizheng_1473671271,29,1,word,False,False
is,1.7170067080005538,3.8836466670036316,0.0,guyizheng_1473671271,29,2,word,False,False
owned,5.150109874986811,1.7669237079971936,0.0,guyizheng_1473671271,29,3,word,False,False
by,1.8333026670152321,1.3669518329843413,0.0,guyizheng_1473671271,29,4,word,False,False
the,2.9169020000263117,2.116997957986314,0.0,guyizheng_1473671271,29,5,word,False,False
the,2.116985291999299,1.5668060000170954,0.0,guyizheng_1473671271,30,0,word,True,False
chamber,6.083393665991025,1.9503647919918876,0.0,guyizheng_1473671271,30,1,word,False,False
makes,4.3002868330222555,1.7833552499942016,0.0,guyizheng_1473671271,30,2,word,False,False
important,8.600571416987805,3.200175667006988,0.0,guyizheng_1473671271,30,3,word,False,False
with,3.8836542499775533,1.8667876250110567,0.0,guyizheng_1473671271,31,0,word,True,False
each,2.6502025829977356,1.5334199579956476,0.0,guyizheng_1473671271,31,1,word,False,False
step,3.450228083995171,1.58345362500404,0.0,guyizheng_1473671271,31,2,word,False,False
the,2.5334504159982316,4.033543708996149,0.0,guyizheng_1473671271,32,0,word,True,False
the,14.434122958016815,2.4989749169908464,0.0,guyizheng_1473671271,32,0,word,True,False
***********,13.252353290998144,2.0850320419995114,3.0320267920033075,guyizheng_1473671271,32,1,word,False,False
the,13.252353290998144,1.9991319589898922,5.183340000017779,guyizheng_1473671271,32,0,word,True,False
ventilation,10.501809000008507,4.667125957988901,0.0,guyizheng_1473671271,32,1,word,False,False
system,5.816936249990249,1.6334007499972358,0.0,guyizheng_1473671271,32,2,word,False,False
is,1.5001712500234134,1.066789249976864,0.0,guyizheng_1473671271,32,3,word,False,False
just,5.33373675000621,2.267009915987728,0.0,guyizheng_1473671271,33,0,word,True,False
that,4.500259083986748,2.900290333025623,0.0,guyizheng_1473671271,33,1,word,False,False
just,4.500259083986748,1.3834157079982106,2.966602000000421,guyizheng_1473671271,33,0,word,True,False
what,3.5837250420008786,2.167071041010786,0.0,guyizheng_1473671271,33,1,word,False,False
p,1.4665013749909122,7.717315334011801,0.0,guyizheng_1473671271,33,2,word,False,False
the,13.400580791989341,1.883396958000958,0.0,guyizheng_1473671271,33,2,word,False,False
doctor,6.1005001250014175,2.1168640840041917,0.0,guyizheng_1473671271,33,3,word,False,False
an,3.033050458005164,3.100264916982269,0.0,guyizheng_1473671271,34,0,word,True,False
occasional,10.000705916027073,1.850022958999034,0.0,guyizheng_1473671271,34,1,word,False,False
taste,5.21702295797877,2.3168873749964405,0.0,guyizheng_1473671271,34,2,word,False,False
