n,191725.473797542,191726.490779333,13.1499996185303,guyizheng_1473671271,4.0,1,char,True,True,False
o,191728.474168625,191729.339386167,14.1399993896484,guyizheng_1473671271,4.0,1,char,False,False,False
t,191731.257558625,191731.922677958,18.0174999237061,guyizheng_1473671271,4.0,1,char,False,False,False
q,191736.207815292,191737.357790333,16.0375003814697,guyizheng_1473671271,4.0,1,char,False,True,False
u,191739.674739625,191740.50811225,19.0900001525879,guyizheng_1473671271,4.0,1,char,False,False,False
i,191742.424679542,191742.924844667,10.0150003433228,guyizheng_1473671271,4.0,1,char,False,False,False
t,191744.691773333,191745.823808125,18.2649993896484,guyizheng_1473671271,4.0,1,char,False,False,False
e,191747.258565792,191747.608351417,5.3125,guyizheng_1473671271,4.0,1,char,False,False,False
 ,191749.959064875,191751.508841292,2.83750009536743,guyizheng_1473671271,4.0,1,char,False,False,False
s,191754.475766083,191755.142347,17.3575000762939,guyizheng_1473671271,4.0,1,char,False,True,False
o,191756.759043,191758.191262625,15.2124996185303,guyizheng_1473671271,4.0,1,char,False,False,False
 ,191761.259608375,191762.241189875,17.1100006103516,guyizheng_1473671271,4.0,1,char,False,False,False
 ,191772.876880792,191774.108851167,18.0174999237061,guyizheng_1473671271,4.0,1,char,False,False,False
 ,191778.260453542,191779.193944542,0.0325002670288086,guyizheng_1473671271,4.0,1,char,False,False,False
s,191781.594038208,191782.444135292,19.1725006103516,guyizheng_1473671271,4.0,1,char,False,True,False
m,191784.127635667,191784.74291875,12.1599998474121,guyizheng_1473671271,4.0,1,char,False,False,False
a,191786.544365625,191786.911047333,0.0325002670288086,guyizheng_1473671271,4.0,1,char,False,False,False
r,191788.061866292,191789.193315208,16.0375003814697,guyizheng_1473671271,4.0,1,char,False,False,False
t,191791.74489825,191792.62681275,18.0174999237061,guyizheng_1473671271,4.0,1,char,False,False,False
a,191797.295130708,191797.561843875,4.32250022888184,guyizheng_1473671271,4.0,1,char,False,True,False
s,191799.245276667,191800.344217,19.0075016021729,guyizheng_1473671271,4.0,1,char,False,False,False
 ,191802.528634958,191802.812136583,2.17750024795532,guyizheng_1473671271,4.0,1,char,False,False,False
y,191804.462398917,191805.627772458,23.0500011444092,guyizheng_1473671271,4.0,1,char,False,True,False
o,191807.579151167,191808.177926833,15.0475006103516,guyizheng_1473671271,4.0,1,char,False,False,False
u,191809.162537708,191809.728116333,21.1525001525879,guyizheng_1473671271,4.0,1,char,False,False,False
t,191814.1129365,191814.894896833,19.0075016021729,guyizheng_1473671271,4.0,1,char,False,True,False
h,191816.463037417,191818.963155917,7.53999996185303,guyizheng_1473671271,4.0,1,char,False,False,False
i,191821.496688208,191821.928887625,9.10750007629395,guyizheng_1473671271,4.0,1,char,False,False,False
n,191823.513529792,191824.145634,13.1499996185303,guyizheng_1473671271,4.0,1,char,False,False,False
k,191825.863607333,191826.645809,9.10750007629395,guyizheng_1473671271,4.0,1,char,False,False,False
e,191842.498059625,191842.931551292,7.12750053405762,guyizheng_1473671271,4.0,2,char,True,True,False
v,191846.28164,191847.613466625,22.0599994659424,guyizheng_1473671271,4.0,2,char,False,False,False
e,191849.531839625,191849.980512875,4.15750026702881,guyizheng_1473671271,4.0,2,char,False,False,False
r,191854.315589083,191855.030894,17.1925010681152,guyizheng_1473671271,4.0,2,char,False,False,False
r,191857.065522125,191857.699027833,-5.0,guyizheng_1473671271,4.0,2,char,False,False,False
y,191860.449339583,191862.064652792,23.0500011444092,guyizheng_1473671271,4.0,2,char,False,False,False
 ,191865.532908875,191865.816466875,2.01250028610229,guyizheng_1473671271,4.0,2,char,False,False,False
p,191869.1165105,191870.331888625,14.6350002288818,guyizheng_1473671271,4.0,2,char,False,False,False
p,191872.016779167,191872.69871875,16.2024993896484,guyizheng_1473671271,4.0,2,char,False,False,False
l,191874.500284125,191875.5323345,11.1700000762939,guyizheng_1473671271,4.0,2,char,False,False,False
e,191878.367085917,191878.765957875,7.12750053405762,guyizheng_1473671271,4.0,2,char,False,False,False
 ,191882.05084875,191882.450729125,1.02250003814697,guyizheng_1473671271,4.0,2,char,False,False,False
f,191884.450812167,191884.932966167,7.29250049591064,guyizheng_1473671271,4.0,2,char,False,True,False
r,191886.65093525,191887.933115708,20.0799999237061,guyizheng_1473671271,4.0,2,char,False,False,False
o,191889.767858167,191890.951236083,28.0,guyizheng_1473671271,4.0,2,char,False,False,False
f,191894.584786958,191895.468102417,5.23000049591064,guyizheng_1473671271,4.0,2,char,False,True,False
r,191897.88699025,191898.684019792,16.0375003814697,guyizheng_1473671271,4.0,2,char,False,False,False
o,191901.852010625,191902.58533325,15.1300010681152,guyizheng_1473671271,4.0,2,char,False,False,False
m,191904.5188405,191905.067837625,13.3150005340576,guyizheng_1473671271,4.0,2,char,False,False,False
e,191908.952408833,191909.284439792,8.28250026702881,guyizheng_1473671271,4.0,2,char,False,True,False
v,191912.252735167,191913.051105958,20.0799999237061,guyizheng_1473671271,4.0,2,char,False,False,False
e,191914.852867875,191915.234888958,5.14750003814697,guyizheng_1473671271,4.0,2,char,False,False,False
r,191917.719871083,191918.301514708,21.1525001525879,guyizheng_1473671271,4.0,2,char,False,False,False
y,191922.970093708,191924.302159208,23.0500011444092,guyizheng_1473671271,4.0,2,char,False,False,False
 ,191934.403979875,191934.820997625,2.34249973297119,guyizheng_1473671271,4.0,2,char,False,False,False
t,191937.304729792,191938.936363083,20.4099998474121,guyizheng_1473671271,4.0,2,char,False,True,False
r,191941.604668083,191942.203221375,17.9349994659424,guyizheng_1473671271,4.0,2,char,False,False,False
