char, time, pressure, rel_pressure, prev, rel_prev, user, group, id, 
w, 1.316951249998965, 22.0599994659424, 0.559999465942397, 16.0375003814697, 6.022499084472699, guyizheng_1472546320, 3.0, 1,
p, 1.3668780415991932, 16.0375003814697, 1.5375003814696981, 5.3125, 10.725000381469702, guyizheng_1472546320, 3.0, 1,
f, 0.6164372915991407, 5.3125, 0.8125, 22.0599994659424, -16.7474994659424, guyizheng_1472546320, 3.0, 1,
h, 1.5652498333001859, 11.0050010681152, 4.505001068115206, 23.2150001525879, -12.2099990844727, guyizheng_1472546320, 3.0, 2,
v, 0.9167602917004842, 23.2150001525879, 2.715000152587905, 3.25, 19.9650001525879, guyizheng_1472546320, 3.0, 2,
d, 0.4336931249999907, 3.25, 0.75, 11.0050010681152, -7.755001068115201, guyizheng_1472546320, 3.0, 2,
r, 1.1501401249988703, 17.3575000762939, 0.8575000762939027, 5.23000049591064, 12.127499580383258, guyizheng_1472546320, 3.0, 3,
e, 0.8833969999996043, 5.23000049591064, 1.7300004959106445, 15.0475006103516, -9.81750011444096, guyizheng_1472546320, 3.0, 3,
o, 1.4000942917009525, 15.0475006103516, 1.5475006103516051, 17.0275001525879, -1.9799995422363015, guyizheng_1472546320, 3.0, 3,
a, 0.40014595839966205, 1.02250003814697, 1.5225000381469727, 17.1925010681152, -16.17000102996823, guyizheng_1472546320, 3.0, 4,
q, 1.0999296250010957, 17.1925010681152, 1.692501068115206, 0.0325002670288086, 17.16000080108639, guyizheng_1472546320, 3.0, 4,
a, 0.34999375000006694, 0.0325002670288086, 0.5325002670288086, 1.02250003814697, -0.9899997711181614, guyizheng_1472546320, 3.0, 4,
d, 1.0168255417011096, 4.07499980926514, 1.5749998092651367, 12.0774993896484, -8.00249958038326, guyizheng_1472546320, 3.0, 5,
k, 0.8165948333007691, 12.0774993896484, 2.577499389648395, 15.1300010681152, -3.0525016784668004, guyizheng_1472546320, 3.0, 5,
p, 1.049828625000373, 15.1300010681152, 0.630001068115206, 4.07499980926514, 11.05500125885006, guyizheng_1472546320, 3.0, 5,
u, 1.8332413749994885, 20.1625003814697, 0.6625003814696981, 5.3125, 14.850000381469702, guyizheng_1472546320, 3.0, 6,
f, 1.2002143749996321, 5.3125, 0.8125, 1.10500001907349, 4.20749998092651, guyizheng_1472546320, 3.0, 6,
a, 0.3335197500000504, 1.10500001907349, 1.6050000190734863, 20.1625003814697, -19.057500362396212, guyizheng_1472546320, 3.0, 6,
q, 0.9667129167009989, 18.0174999237061, 2.5174999237060973, 20.2449989318848, -2.2274990081787003, guyizheng_1472546320, 3.0, 7,
v, 1.3501212499995745, 20.2449989318848, -0.25500106811520595, 23.0500011444092, -2.8050022125244, guyizheng_1472546320, 3.0, 7,
w, 1.8336546250011452, 23.0500011444092, 1.550001144409208, 18.0174999237061, 5.0325012207031, guyizheng_1472546320, 3.0, 7,
p, 0.7834789582993835, 18.1000003814697, 3.600000381469698, 7.21000003814697, 10.890000343322733, guyizheng_1472546320, 3.0, 8,
g, 0.6831187916013732, 7.21000003814697, 1.7100000381469727, 21.4825000762939, -14.27250003814693, guyizheng_1472546320, 3.0, 8,
v, 1.716891833299087, 21.4825000762939, 0.9825000762939027, 18.1000003814697, 3.3824996948241974, guyizheng_1472546320, 3.0, 8,
s, 1.217426000001069, 18.0174999237061, 0.5174999237060973, 18.0174999237061, 0.0, guyizheng_1472546320, 3.0, 9,
t, 0.9829391665989533, 18.0174999237061, -0.4825000762939027, 12.0774993896484, 5.940000534057701, guyizheng_1472546320, 3.0, 9,
